Country Name;Country Code;Indicator Name;Indicator Code;2018;2019
St. Lucia;LCA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Latin America & Caribbean;LCN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,10565625;24,34062032
Least developed countries: UN classification;LDC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21,07413665;20,39006942
Low income;LIC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19,69731583;18,29458184
Liechtenstein;LIE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Sri Lanka;LKA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21,44624861;21,82353289
Lower middle income;LMC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,76081316;24,09914402
Low & middle income;LMY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,60953779;22,81811728
Lesotho;LSO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;49,83311142;46,20932818
Late-demographic dividend;LTE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;28,81014423;28,12074343
Lithuania;LTU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;75,20540489;77,2441153
Luxembourg;LUX;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;197,5013375;206,4116498
Latvia;LVA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;61,45894175;60,02102714
Macao SAR, China;MAC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;82,66996164;82,70639313
St. Martin (French part);MAF;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Morocco;MAR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;33,82843737;34,09305747
Monaco;MCO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Moldova;MDA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;30,69636994;31,19108496
Madagascar;MDG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31,53602365;28,42440124
Maldives;MDV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Middle East & North Africa;MEA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;43,05422874;40,88678521
Mexico;MEX;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;39,04393044;38,4970333
Marshall Islands;MHL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;39,82891982;37,20632662
Middle income;MIC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,6770203;22,89594611
North Macedonia;MKD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;60,37513732;62,40805679
Mali;MLI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,5223744;25,70529113
Malta;MLT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;160,7029004;163,8180825
Myanmar;MMR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Middle East & North Africa (excluding high income);MNA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29,54082583;26,56024064
Montenegro;MNE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42,87500027;43,84663878
Mongolia;MNG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;58,16478228;59,21723318
Northern Mariana Islands;MNP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;50,73020753;42,33700254
Mozambique;MOZ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;45,53103584;37,14205636
Mauritania;MRT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;36,5862504;42,39752404
Mauritius;MUS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;46,09626695;44,66714053
Malawi;MWI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Malaysia;MYS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;68,55497142;65,27776684
North America;NAC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;13,84393518;13,34806073
Namibia;NAM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;35,88256521;36,40088244
New Caledonia;NCL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Niger;NER;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;11,29573716;10,75937692
Nigeria;NGA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Nicaragua;NIC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42,27739009;44,80450009
Netherlands;NLD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;84,68346368;82,5377127
Norway;NOR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;38,22102729;36,64092532
Nepal;NPL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;7,815641022;7,779936474
Nauru;NRU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;54,43786982;60,57142857
New Zealand;NZL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;27,88390877;27,35030566
OECD members;OED;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;28,62638521;28,00625716
Oman;OMN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;50,62130514;49,49201699
Other small states;OSS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;71,343246;71,92391623
Pakistan;PAK;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;8,581799708;9,390863379
Panama;PAN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42,36679586;40,30866975
Peru;PER;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;25,19218467;24,03908743
Philippines;PHL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;30,21360537;28,38292001
Palau;PLW;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42,02661616;37,91828132
Papua New Guinea;PNG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Poland;POL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;52,74802893;53,19533562
Pre-demographic dividend;PRE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;25,47908998;23,25058646
Puerto Rico;PRI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;59,95388186;60,57888409
Korea, Dem. People's Rep.;PRK;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Portugal;PRT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;43,44571903;43,50842185
Paraguay;PRY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;36,85322354;36,08729094
West Bank and Gaza;PSE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;15,96156445;15,52105524
Pacific island small states;PSS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42,19768998;42,32311713
Post-demographic dividend;PST;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29,70195571;28,85803068
French Polynesia;PYF;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;20,97916875;20,59235903
Qatar;QAT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;55,94186317;52,18885993
Romania;ROU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;41,54174729;40,20019466
Russian Federation;RUS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;30,7932568;28,43343068
Rwanda;RWA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21,10801655;21,82544935
South Asia;SAS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;17,97006208;17,21730672
Saudi Arabia;SAU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;37,19850984;34,08919621
Sudan;SDN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;7,650201985;8,452983418
Senegal;SEN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;22,94909148;24,9831342
Singapore;SGP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;178,2305047;176,3000887
Solomon Islands;SLB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42,12623861;36,49690192
Sierra Leone;SLE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;17,4673004;18,24693558
El Salvador;SLV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;28,93437378;29,95590961
San Marino;SMR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;166,5974977;163,9972392
Somalia;SOM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;13,51741123;12,00581979
Serbia;SRB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;50,4345613;51,01092315
Sub-Saharan Africa (excluding high income);SSA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,47951117;22,91217292
South Sudan;SSD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Sub-Saharan Africa;SSF;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,55360334;22,98407075
Small states;SST;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;66,36275898;66,7400605
Sao Tome and Principe;STP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Suriname;SUR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Slovak Republic;SVK;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;95,83585114;91,90868525
Slovenia;SVN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;84,7926764;83,61469331
Sweden;SWE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;45,68306151;47,80921095
Eswatini;SWZ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;40,43183558;45,64789645
Sint Maarten (Dutch part);SXM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Seychelles;SYC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;87,04440441;82,35626862
Syrian Arab Republic;SYR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;14,91702771;13,01006646
Turks and Caicos Islands;TCA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Chad;TCD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;36,19068245;36,74225344
East Asia & Pacific (IDA & IBRD countries);TEA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,31156777;22,40516334
Europe & Central Asia (IDA & IBRD countries);TEC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;37,5768973;36,65612627
Togo;TGO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,22395246;23,81245271
Thailand;THA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;64,8380969;59,51889062
Tajikistan;TJK;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;14,37547847;14,97993927
Turkmenistan;TKM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29,89998528;24,73360073
Latin America & the Caribbean (IDA & IBRD countries);TLA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,59452809;23,83676306
Timor-Leste;TLS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;2,912498183;21,27205069
Middle East & North Africa (IDA & IBRD countries);TMN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29,69811536;26,69381398
Tonga;TON;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21,41202884;21,97183292
South Asia (IDA & IBRD);TSA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;17,97006208;17,21730672
Sub-Saharan Africa (IDA & IBRD countries);TSS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,55360334;22,98407075
Trinidad and Tobago;TTO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Tunisia;TUN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;45,48566766;45,95044279
Turkiye;TUR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31,23269256;33,07421471
Tuvalu;TUV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Tanzania;TZA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;14,73914339;16,03674615
Uganda;UGA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;15,08705306;17,10905802
Ukraine;UKR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;45,23523566;41,23169126
Upper middle income;UMC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,51463336;22,70723049
Uruguay;URY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;26,42165998;27,71833386
United States;USA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;12,28711076;11,79500678
Uzbekistan;UZB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;26,84105393;28,29800251
St. Vincent and the Grenadines;VCT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Venezuela, RB;VEN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
British Virgin Islands;VGB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Virgin Islands (U.S.);VIR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;53,12261025;54,96238777
Viet Nam;VNM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;84,42345602;85,1575871
Vanuatu;VUT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;41,59687215;50,34527687
World;WLD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29,14407276;28,27357186
Samoa;WSM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31,9656782;35,03333014
Kosovo;XKX;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29,05346472;29,31260746
Yemen, Rep.;YEM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;8,755596914;
South Africa;ZAF;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;27,49703715;27,20212941
Zambia;ZMB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;37,95740455;34,6361926
Zimbabwe;ZWE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;26,16397313;27,55415641
